District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
IN-05,Victoria Spartz,(R),"200,376","209,669","418,387",47.9%,50.1%
IN-06,Greg Pence,(R),"96,502","228,217","331,541",29.1%,68.8%
IN-07,André Carson,(D),"177,925","99,811","283,006",62.9%,35.3%
IN-08,Larry Bucshon,(R),"108,025","212,185","326,153",33.1%,65.1%
IN-09,Trey Hollingsworth,(R),"135,586","221,516","364,279",37.2%,60.8%
KS-01,Tracey Mann,(R),"83,890","207,727","298,130",28.1%,69.7%
KS-02,Jake LaTurner,(R),"140,303","191,030","339,357",41.3%,56.3%
KS-03,Sharice Davids,(D),"223,114","179,583","411,239",54.3%,43.7%
KS-04,Ron Estes,(R),"123,016","193,066","323,577",38.0%,59.7%
KY-01,James Comer,(R),"85,228","244,122","334,095",25.5%,73.1%
KY-02,Brett Guthrie,(R),"111,859","246,865","365,139",30.6%,67.6%
KY-03,John Yarmuth,(D),"221,843","141,027","369,797",60.0%,38.1%
KY-04,Thomas Massie,(R),"129,335","250,481","386,856",33.4%,64.7%
KY-05,Hal Rogers,(R),"56,153","241,712","301,591",18.6%,80.1%
KY-06,Andy Barr,(R),"168,056","202,439","377,958",44.5%,53.6%
LA-01,Steve Scalise,(R),"118,270","266,928","392,488",30.1%,68.0%
LA-02,Troy Carter,(D),"260,587","79,570","345,901",75.3%,23.0%
LA-03,Clay Higgins,(R),"107,448","242,738","356,316",30.2%,68.1%
LA-04,Mike Johnson,(R),"121,500","201,823","328,304",37.0%,61.5%
LA-05,Julia Letlow,(R),"113,682","215,064","333,589",34.1%,64.5%
LA-06,Garret Graves,(R),"134,547","249,652","391,463",34.4%,63.8%
MA-01,Richard Neal,(D),"224,939","135,655","367,953",61.1%,36.9%
MA-02,Jim McGovern,(D),"240,547","140,377","389,490",61.8%,36.0%
MA-03,Lori Trahan,(D),"243,303","132,757","383,965",63.4%,34.6%
MA-04,Jake Auchincloss,(D),"276,820","144,654","429,320",64.5%,33.7%
MA-05,Katherine Clark,(D),"304,072","97,562","408,381",74.5%,23.9%
MA-06,Seth Moulton,(D),"279,782","159,252","446,903",62.6%,35.6%
MA-07,Ayanna Pressley,(D),"276,091","43,074","323,587",85.3%,13.3%
MA-08,Stephen Lynch,(D),"283,426","137,738","428,337",66.2%,32.2%
MA-09,Bill Keating,(D),"253,222","176,133","437,139",57.9%,40.3%
MD-01,Andy Harris,(R),"157,430","236,906","402,745",39.1%,58.8%
MD-02,Dutch Ruppersberger,(D),"225,433","110,901","342,575",65.8%,32.4%
MD-03,John Sarbanes,(D),"263,027","112,328","382,649",68.7%,29.4%
MD-04,Anthony Brown,(D),"286,724","69,533","362,454",79.1%,19.2%
MD-05,Steny Hoyer,(D),"276,896","119,771","403,689",68.6%,29.7%
MD-06,David Trone,(D),"227,214","140,735","375,037",60.6%,37.5%
MD-07,Kweisi Mfume,(D),"261,237","66,703","333,295",78.4%,20.0%
MD-08,Jamie Raskin,(D),"287,062","119,537","414,164",69.3%,28.9%
ME-01,Chellie Pingree,(D),"266,376","164,045","443,067",60.1%,37.0%
ME-02,Jared Golden,(D),"168,696","196,692","376,307",44.8%,52.3%
MI-01,Jack Bergman,(R),"171,402","244,455","422,411",40.6%,57.9%
MI-02,Bill Huizenga,(R),"177,044","225,408","409,870",43.2%,55.0%
MI-03,Peter Meijer,(R),"194,575","207,762","410,219",47.4%,50.6%
MI-04,John Moolenaar,(R),"141,708","234,124","382,259",37.1%,61.2%
MI-05,Dan Kildee,(D),"189,227","173,212","367,855",51.4%,47.1%
MI-06,Fred Upton,(R),"180,142","197,508","384,755",46.8%,51.3%
MI-07,Tim Walberg,(R),"163,293","224,274","394,301",41.4%,56.9%
MI-08,Elissa Slotkin,(D),"212,085","215,649","434,738",48.8%,49.6%
MI-09,Andy Levin,(D),"229,258","175,081","410,103",55.9%,42.7%
MI-10,Lisa McClain,(R),"146,887","273,877","426,468",34.4%,64.2%
MI-11,Haley Stevens,(D),"237,696","216,799","460,743",51.6%,47.1%
MI-12,Debbie Dingell,(D),"251,770","134,892","392,079",64.2%,34.4%
MI-13,Rashida Tlaib,(D),"229,535","58,162","291,132",78.8%,20.0%
MI-14,Brenda Lawrence,(D),"276,847","68,031","348,045",79.5%,19.5%
MN-01,Brad Finstad,(R),"164,139","202,121","374,203",43.9%,54.0%
MN-02,Angie Craig,(D),"226,589","197,005","432,792",52.4%,45.5%
MN-03,Dean Phillips,(D),"265,552","178,221","452,512",58.7%,39.4%
MN-04,Betty McCollum,(D),"273,197","123,295","404,458",67.5%,30.5%
MN-05,Ilhan Omar,(D),"328,766","72,323","409,330",80.3%,17.7%
MN-06,Tom Emmer,(R),"165,370","251,056","425,737",38.8%,59.0%
MN-07,Michelle Fischbach,(R),"126,528","234,753","368,161",34.4%,63.8%
MN-08,Pete Stauber,(R),"166,936","225,291","400,013",41.7%,56.3%
MO-01,Cori Bush,(D),"257,909","58,280","321,328",80.3%,18.1%
MO-02,Ann Wagner,(R),"222,349","222,464","452,325",49.2%,49.2%
